Date,Time,TT,Species.,X.,Comments.Observations
2003-04-16,1630,snake trap,Coluber constrictor,2,
2003-04-17,915,snake trap,Farancia erytrogramma,1,
2003-04-17,1720,snake trap,Agkistrodon piscivorus,1,
2003-04-17,915,snake trap,Thamnophis sirtalis,1,
2003-04-17,1720,snake trap,Coluber constrictor,1,
2003-04-18,1115,bucket,Thamnophis sirtalis,1,
2003-04-18,1115,snake trap,Coluber constrictor,1,
2003-04-19,900,snake trap,Diadophis punctatus,1,
2003-04-21,1700,snake trap,Thamnophis sirtalis,1,
2003-04-21,1700,snake trap,Coluber constrictor,1,
2003-04-22,1700,snake trap,Coluber constrictor,1,COVERED IN MAGGETS
2003-04-24,1714,snake trap,Coluber constrictor,1,
2003-04-24,1714,snake trap,Coluber constrictor,1,
2003-04-26,1715,snake trap,Coluber constrictor,1,
2003-04-26,1715,snake trap,Coluber constrictor,1,
2003-04-26,1715,snake trap,Coluber constrictor,1,
2003-04-26,1715,snake trap,Coluber constrictor,1,
2003-04-27,945,snake trap,Nerodia erythrogaster,1,
2003-04-27,1710,snake trap,Coluber constrictor,1,
2003-04-27,1710,snake trap,Coluber constrictor,1,
2003-04-28,940,snake trap,Agkistrodon piscivorus,1,JUV
2003-04-28,1745,snake trap,Coluber constrictor,1,
2003-04-30,1045,snake trap,Nerodia erythrogaster,1,
2003-04-30,1900,snake trap,Coluber constrictor,1,
2003-05-01,1715,bucket,Coluber constrictor,1,
2003-05-02,1050,snake trap,Coluber constrictor,1,
2003-05-03,930,snake trap,Agkistrodon contortrix,1,
2003-05-03,930,snake trap,Farancia abacura,1,
2003-05-03,1800,snake trap,Nerodia erythrogaster,1,
2003-05-04,1700,bucket,Coluber constrictor,1,JUVENILE
2003-05-04,1700,snake trap,Farancia abacura,1,
2003-05-04,1700,snake trap,Coluber constrictor,1,
2003-05-04,1700,snake trap,Coluber constrictor,1,
2003-05-06,850,bucket,Seminatrix pygaea,1,
2003-05-06,850,snake trap,Coluber constrictor,1,BEAT UP
2003-05-07,1520,snake trap,Coluber constrictor,1,
2003-05-08,850,snake trap,Nerodia fasciata,1,
2003-05-08,850,snake trap,Coluber constrictor,1,
2003-05-08,1735,snake trap,Coluber constrictor,2,NEITHER MRKD
2003-05-09,815,snake trap,Coluber constrictor,2,
2003-05-09,1545,snake trap,Coluber constrictor,1,
2003-05-10,624,snake trap,Agkistrodon piscivorus,1,
2003-05-10,1800,snake trap,Nerodia erythrogaster,1,
2003-05-10,1800,snake trap,Coluber constrictor,1,
2003-05-10,1800,snake trap,Coluber constrictor,1,RELEASED
2003-05-11,905,bucket,Farancia erytrogramma,1,HATCHLING
2003-05-11,1815,snake trap,Coluber constrictor,1,MRKD  
2003-05-13,945,snake trap,Coluber constrictor,1,
2003-05-14,800,snake trap,Nerodia fasciata,1,
2003-05-14,800,snake trap,Pantherophis guttatus,1,JUVENILE
2003-05-18,2245,bucket,Seminatrix pygaea,1,
2003-05-19,740,bucket,Nerodia fasciata,1,JUV
2003-05-20,830,bucket,Storeria dekayii,1,
2003-05-21,30,bucket,Seminatrix pygaea,1,
2003-05-21,1740,snake trap,Seminatrix pygaea,1,
2003-05-21,1740,snake trap,Farancia abacura,1,
2003-05-24,2330,bucket,Nerodia fasciata,1,
2003-05-28,1615,snake trap,Nerodia erythrogaster,1,
2003-05-28,1615,snake trap,Nerodia erythrogaster,1,
2003-05-28,1615,snake trap,Coluber constrictor,1,
2003-05-29,1645,snake trap,Heterodon platirhinos,1,
2003-05-29,1645,snake trap,Agkistrodon piscivorus,1,
2003-05-29,1645,snake trap,Coluber constrictor,1,
2003-05-30,825,snake trap,Pantherophis guttatus,1,
2003-05-30,1645,snake trap,Coluber constrictor,1,
2003-05-31,1730,snake trap,Mastocophis flagellum,1,
2003-06-02,1800,snake trap,Coluber constrictor,1,
2003-06-05,730,bucket,Seminatrix pygaea,1,
2003-06-05,730,bucket,Diadophis punctatus,1,
2003-06-08,1840,bucket,Nerodia floridana,1,
2003-06-16,855,bucket,Seminatrix pygaea,1,
2003-06-18,824,bucket,Seminatrix pygaea,1,
2003-06-19,830,bucket,Seminatrix pygaea,1,
2003-06-20,830,bucket,Seminatrix pygaea,1,
2003-06-20,830,bucket,Seminatrix pygaea,1,
2003-06-20,830,bucket,Nerodia floridana,1,DROWNED
2003-06-20,1830,snake trap,Coluber constrictor,1,
2003-06-20,1830,snake trap,Coluber constrictor,1,
2003-06-21,1700,snake trap,Coluber constrictor,1,
2003-06-21,1700,snake trap,Coluber constrictor,1,
2003-06-22,909,bucket,Seminatrix pygaea,1,NEW
2003-06-22,909,bucket,Diadophis punctatus,1,
2003-06-22,1700,snake trap,Agkistrodon piscivorus,1,
2003-06-22,1700,snake trap,Coluber constrictor,1,
2003-06-22,1700,snake trap,Coluber constrictor,1,
2003-06-22,1700,snake trap,Coluber constrictor,1,
2003-06-24,1820,snake trap,Coluber constrictor,1,
2003-06-26,823,bucket,Storeria occipitomaculata,1,ADULT M
2003-06-26,1625,snake trap,Coluber constrictor,1,
2003-06-26,1625,snake trap,Coluber constrictor,1,
2003-06-27,835,snake trap,Thamnophis sauritus,1,JUV
2003-06-27,835,snake trap,Coluber constrictor,1,UNMRKD
2003-06-27,1630,snake trap,Coluber constrictor,1,
2003-06-28,900,snake trap,Coluber constrictor,1,BRAND LOOKS HEALTHY
2003-06-30,1715,snake trap,Coluber constrictor,1,
2003-07-01,845,bucket,Seminatrix pygaea,1,F
2003-07-01,1715,snake trap,Agkistrodon piscivorus,1,
2003-07-02,830,bucket,Seminatrix pygaea,1,
2003-07-02,1800,snake trap,Thamnophis sauritus,1,JUV
2003-07-02,1800,snake trap,Agkistrodon piscivorus,1,
2003-07-03,1825,snake trap,Coluber constrictor,1,NEMACIATED
2003-07-05,1730,snake trap,Agkistrodon piscivorus,1,
2003-07-06,826,bucket,Seminatrix pygaea,1,
2003-07-06,1730,snake trap,Agkistrodon piscivorus,1,
2003-07-06,1730,snake trap,Coluber constrictor,1,
2003-07-06,1730,snake trap,Coluber constrictor,1,
2003-07-07,906,bucket,Seminatrix pygaea,1,DIED IN TRANSIT WHILE RTL
2003-07-08,1800,bucket,Agkistrodon piscivorus,1,
2003-07-09,1830,bucket,Seminatrix pygaea,1,
2003-07-09,1830,snake trap,Agkistrodon piscivorus,1,
2003-07-11,1733,snake trap,Coluber constrictor,1,
2003-07-13,2000,bucket,Diadophis punctatus,1,
2003-07-14,1745,bucket,Seminatrix pygaea,1,
2003-07-15,1630,snake trap,Agkistrodon piscivorus,1,
2003-07-16,1720,snake trap,Coluber constrictor,1,
2003-07-16,1720,snake trap,Coluber constrictor,1,
2003-07-17,830,bucket,Nerodia floridana,1,
2003-07-19,1855,snake trap,Thamnophis sauritus,1,
2003-07-19,1855,snake trap,Coluber constrictor,1,
2003-07-21,1745,snake trap,Agkistrodon piscivorus,1,
2003-07-22,830,bucket,Cemophora coccinea,1,
2003-07-25,830,bucket,Storeria occipitomaculata,1,
2003-07-27,1850,snake trap,Thamnophis sauritus,1,
2003-07-28,826,bucket,Nerodia fasciata,1,
2003-07-28,826,bucket,Nerodia fasciata,1,
2003-07-28,826,snake trap,Agkistrodon piscivorus,1,
2003-07-28,1910,snake trap,Agkistrodon piscivorus,1,
2003-07-30,845,bucket,Seminatrix pygaea,1,
2003-07-30,1815,snake trap,Nerodia fasciata,1,
2003-07-30,845,snake trap,Thamnophis sauritus,1,
2003-07-31,838,bucket,Seminatrix pygaea,1,YOTY
2003-07-31,1945,snake trap,Agkistrodon piscivorus,1,
2003-08-01,830,snake trap,Thamnophis sauritus,1,
2003-08-02,1930,bucket,Seminatrix pygaea,1,
2003-08-04,1845,bucket,Thamnophis sauritus,1,
2003-08-04,845,bucket,Diadophis punctatus,1,
2003-08-05,1800,coffee can,Seminatrix pygaea,1,JUV
2003-08-05,1800,coffee can,Seminatrix pygaea,1,JUV
2003-08-05,1800,snake trap,Agkistrodon piscivorus,1,
2003-08-06,847,bucket,Seminatrix pygaea,1,NEONATE
2003-08-06,847,bucket,Seminatrix pygaea,1,NEONATE
2003-08-06,1825,bucket,Nerodia fasciata,1,
2003-08-06,1825,bucket,Thamnophis sauritus,1,
2003-08-06,1825,snake trap,Opheodrys aestivus,1,
2003-08-07,830,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-07,1830,snake trap,Thamnophis sauritus,1,
2003-08-08,845,bucket,Seminatrix pygaea,1,
2003-08-08,845,bucket,Seminatrix pygaea,1,Y OF YEAR
2003-08-09,940,bucket,Seminatrix pygaea,1,NEONATE
2003-08-09,940,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-10,830,bucket,Seminatrix pygaea,1,
2003-08-10,830,bucket,Seminatrix pygaea,1,
2003-08-10,1806,bucket,Seminatrix pygaea,1,
2003-08-11,1015,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-11,1800,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-12,955,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,955,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,955,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,1830,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,1830,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,1830,bucket,Seminatrix pygaea,1,NEONATE
2003-08-12,955,bucket,Nerodia fasciata,1,NEONATE
2003-08-12,955,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-12,1830,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-13,1830,bucket,Seminatrix pygaea,1,
2003-08-13,1830,bucket,Seminatrix pygaea,1,
2003-08-13,1830,bucket,Seminatrix pygaea,1,
2003-08-13,1830,coffee can,Seminatrix pygaea,1,
2003-08-13,1830,snake trap,Coluber constrictor,1,
2003-08-14,823,bucket,Seminatrix pygaea,1,NEONATE
2003-08-14,823,bucket,Seminatrix pygaea,1,NEONATE
2003-08-14,823,bucket,Seminatrix pygaea,1,NEONATE
2003-08-14,823,bucket,Seminatrix pygaea,1,NEONATE
2003-08-14,823,bucket,Seminatrix pygaea,2,NEONATE
2003-08-14,1930,bucket,Seminatrix pygaea,1,
2003-08-14,1930,bucket,Cemophora coccinea,1,
2003-08-14,823,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-14,823,coffee can,Seminatrix pygaea,2,NEONATE
2003-08-14,823,snake trap,Nerodia fasciata,1,NEONATE
2003-08-15,1010,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1010,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1010,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1010,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1800,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1800,bucket,Seminatrix pygaea,1,NEONATE
2003-08-15,1010,coffee can,Seminatrix pygaea,1,
2003-08-15,1010,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-16,1845,snake trap,Nerodia fasciata,1,
2003-08-17,1000,bucket,Seminatrix pygaea,1,
2003-08-17,1900,bucket,Seminatrix pygaea,1,
2003-08-17,1000,bucket,Thamnophis sauritus,1,
2003-08-17,1000,coffee can,Seminatrix pygaea,1,
2003-08-18,843,bucket,Seminatrix pygaea,1,NEONATE
2003-08-18,843,bucket,Seminatrix pygaea,1,NEONATE
2003-08-18,843,bucket,Seminatrix pygaea,2,NEONATE
2003-08-18,1830,bucket,Seminatrix pygaea,1,
2003-08-18,1830,bucket,Seminatrix pygaea,1,JUV
2003-08-19,1810,bucket,Seminatrix pygaea,1,NEONATE
2003-08-19,741,bucket,Diadophis punctatus,1,
2003-08-19,1810,snake trap,Nerodia fasciata,1,
2003-08-20,903,bucket,Seminatrix pygaea,1,
2003-08-20,903,bucket,Seminatrix pygaea,1,
2003-08-20,903,bucket,Seminatrix pygaea,1,
2003-08-20,903,bucket,Seminatrix pygaea,1,
2003-08-20,1755,bucket,Seminatrix pygaea,1,
2003-08-20,903,bucket,Diadophis punctatus,1,
2003-08-20,1755,snake trap,Coluber constrictor,1,NEONATE
2003-08-21,915,bucket,Seminatrix pygaea,1,
2003-08-21,1815,bucket,Seminatrix pygaea,1,
2003-08-21,1815,bucket,Seminatrix pygaea,1,
2003-08-21,1815,bucket,Seminatrix pygaea,1,
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,1815,bucket,Seminatrix pygaea,1,NEONATE
2003-08-22,900,snake trap,Coluber constrictor,1,
2003-08-23,930,bucket,Seminatrix pygaea,1,
2003-08-23,930,bucket,Seminatrix pygaea,1,
2003-08-24,920,bucket,Seminatrix pygaea,1,
2003-08-24,920,bucket,Seminatrix pygaea,1,
2003-08-24,1800,bucket,Seminatrix pygaea,1,NEONATE
2003-08-25,841,bucket,Seminatrix pygaea,1,NEONATE
2003-08-25,1800,snake trap,Coluber constrictor,1,
2003-08-26,842,bucket,Seminatrix pygaea,1,NEONATE
2003-08-26,1804,bucket,Seminatrix pygaea,1,NEONATE
2003-08-26,1804,bucket,Seminatrix pygaea,1,NEONATE
2003-08-26,1804,bucket,Seminatrix pygaea,1,NEONATE
2003-08-26,1804,snake trap,Nerodia fasciata,1,
2003-08-27,1800,bucket,Seminatrix pygaea,1,RECAP TAIL CLIPPED
2003-08-27,1800,snake trap,Nerodia erythrogaster,1,RECECNT REC NOT RTL
2003-08-28,1000,bucket,Seminatrix pygaea,1,
2003-08-28,1000,bucket,Seminatrix pygaea,1,
2003-08-28,1000,bucket,Seminatrix pygaea,1,
2003-08-28,1845,bucket,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,bucket,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,bucket,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,bucket,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,coffee can,Seminatrix pygaea,1,NEONATE
2003-08-28,1845,snake trap,Coluber constrictor,1,NEONATE
2003-08-29,930,bucket,Seminatrix pygaea,1,HATCHLING
2003-08-29,930,bucket,Seminatrix pygaea,1,HATCHLING
2003-08-29,1810,bucket,Seminatrix pygaea,1,
2003-08-29,1810,coffee can,Seminatrix pygaea,1,
2003-08-29,1810,snake trap,Thamnophis sirtalis,1,
2003-08-29,1810,snake trap,Coluber constrictor,1,
2003-08-29,1810,snake trap,Coluber constrictor,1,
2003-08-29,1810,snake trap,Coluber constrictor,1,
2003-08-30,930,bucket,Seminatrix pygaea,1,NEONATE
2003-08-30,930,bucket,Seminatrix pygaea,1,DIB 
2003-08-30,930,bucket,Seminatrix pygaea,1,NEONATE
2003-08-30,1800,bucket,Seminatrix pygaea,1,
2003-08-30,1800,snake trap,Heterodon platirhinos,1,
2003-08-30,1800,snake trap,Coluber constrictor,1,
2003-08-31,930,bucket,Seminatrix pygaea,1,NEONATE
2003-08-31,1730,bucket,Seminatrix pygaea,1,NEONATE
2003-08-31,1730,bucket,Seminatrix pygaea,1,NEONATE
2003-08-31,930,bucket,Nerodia fasciata,1,NEONATE
2003-09-01,1830,bucket,Seminatrix pygaea,1,
2003-09-02,748,bucket,Seminatrix pygaea,1,NEONATE
2003-09-02,1730,snake trap,Nerodia fasciata,1,NEONATE
2003-09-03,845,coffee can,Seminatrix pygaea,1,
2003-09-03,1745,snake trap,Coluber constrictor,1,NEONATE
2003-09-04,1725,bucket,Seminatrix pygaea,1,NEONATE
2003-09-04,830,snake trap,Farancia erytrogramma,1,
2003-09-04,1725,snake trap,Coluber constrictor,1,NEONATE
2003-09-04,1725,snake trap,Coluber constrictor,1,ADULT
2003-09-05,1800,snake trap,Diadophis punctatus,1,
2003-09-09,1645,snake trap,Thamnophis sauritus,1,
2003-09-09,1645,snake trap,Coluber constrictor,1,JUV
2003-09-09,1645,snake trap,Coluber constrictor,1,JUV
2003-09-10,915,bucket,Seminatrix pygaea,1,NEONATE
2003-09-10,1810,snake trap,Coluber constrictor,1,
2003-09-11,1630,snake trap,Coluber constrictor,1,
2003-09-12,1730,snake trap,Coluber constrictor,1,NEONATE
2003-09-12,1730,snake trap,Coluber constrictor,1,NEONATE
2003-09-13,1630,snake trap,Coluber constrictor,1,
2003-09-13,1630,snake trap,Coluber constrictor,1,
2003-09-13,1630,snake trap,Coluber constrictor,1,REGURGITATED NEONATE
2003-09-15,840,bucket,Seminatrix pygaea,1,
2003-09-15,840,bucket,Thamnophis sauritus,1,
2003-09-15,1700,coffee can,Seminatrix pygaea,1,REC NEONATE LET GO
2003-09-16,1745,bucket,Thamnophis sauritus,1,NEONATE  
2003-09-16,1745,bucket,Agkistrodon piscivorus,1,YOUNG OF YEAR?
2003-09-16,1745,bucket,Thamnophis sirtalis,1,YOUNG OF YEAR?
2003-09-16,1745,snake trap,Mastocophis flagellum,1,NEONATE
2003-09-16,850,snake trap,Coluber constrictor,1,NEONATE WITH BELLY SCAR
2003-09-16,1745,snake trap,Coluber constrictor,1,
2003-09-17,1745,bucket,Seminatrix pygaea,1,"NEONATE, ANTS ATE"
2003-09-17,1745,bucket,Nerodia floridana,1,
2003-09-17,1745,bucket,Coluber constrictor,1,NEONATE
2003-09-17,905,snake trap,Nerodia fasciata,1,UNMRKD
2003-09-17,905,snake trap,Farancia abacura,1,UNMRKD
2003-09-18,1830,snake trap,Coluber constrictor,1,
2003-09-18,1830,snake trap,Coluber constrictor,1,
2003-09-19,905,snake trap,Nerodia fasciata,1,
2003-09-19,905,snake trap,Coluber constrictor,1,NEONATE
2003-09-19,1830,snake trap,Coluber constrictor,1,
2003-09-20,1730,snake trap,Coluber constrictor,1,NEONATE
2003-09-21,1730,bucket,Heterodon platirhinos,1,NEONATE
2003-09-21,1730,coffee can,Diadophis punctatus,1,NEONATE
2003-09-21,1730,snake trap,Coluber constrictor,1,
2003-09-22,920,bucket,Seminatrix pygaea,1,NEONATE LET GO 
2003-09-23,1700,snake trap,Coluber constrictor,1,
2003-09-24,850,snake trap,Farancia abacura,1,
2003-09-24,1625,snake trap,Coluber constrictor,1,
2003-09-25,1745,snake trap,Heterodon platirhinos,1,NEONATE
2003-09-26,900,bucket,Thamnophis sirtalis,1,
2003-09-26,1710,snake trap,Coluber constrictor,1,NEONATE
2003-09-26,1710,snake trap,Coluber constrictor,1,NEONATE
2003-09-27,1030,bucket,Seminatrix pygaea,1,NEONATE
2003-09-27,1830,bucket,Thamnophis sauritus,1,NEONATE
2003-09-28,1730,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-09-29,930,snake trap,Nerodia fasciata,1,
2003-09-29,1700,snake trap,Coluber constrictor,1,SUBADULT 
2003-09-30,1745,snake trap,Heterodon platirhinos,1,ADULT  
2003-09-30,1745,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-09-30,1745,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-09-30,1745,snake trap,Coluber constrictor,1,ADULT MRKD
2003-10-01,915,bucket,Thamnophis sauritus,1,NEONATE
2003-10-01,1740,snake trap,Heterodon platirhinos,1,
2003-10-01,1740,snake trap,Coluber constrictor,1,
2003-10-01,1740,snake trap,Coluber constrictor,1,
2003-10-02,850,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-10-02,850,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-10-03,1630,snake trap,Heterodon platirhinos,1,
2003-10-04,1900,snake trap,Thamnophis sirtalis,1,
2003-10-04,1900,snake trap,Coluber constrictor,1,NEONATE
2003-10-04,1900,snake trap,Coluber constrictor,1,
2003-10-05,1635,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-10-13,1840,snake trap,Agkistrodon piscivorus,1,JUV
2003-10-13,1840,snake trap,Agkistrodon piscivorus,1,
2003-10-13,1840,snake trap,Coluber constrictor,1,REPTILE RUN ONLY
2003-10-14,1055,snake trap,Farancia erytrogramma,1,UNDER TRAP
2003-10-14,1055,snake trap,Agkistrodon piscivorus,1,JUV
2003-10-14,1800,snake trap,Coluber constrictor,1,
2003-10-15,1645,snake trap,Thamnophis sauritus,1,ADULT NEW CAPTURE
2003-10-16,930,coffee can,Seminatrix pygaea,1,
2003-10-17,1800,snake trap,Agkistrodon piscivorus,1,
2003-10-17,1800,snake trap,Agkistrodon piscivorus,1,
2003-10-17,920,snake trap,Coluber constrictor,1,
2003-10-20,1710,snake trap,Heterodon platirhinos,1,ADULT MARKED
2003-10-20,1710,snake trap,Coluber constrictor,1,NEONATE UNMRKD
2003-10-21,1715,snake trap,Heterodon platirhinos,1,UNMRKD
2003-10-21,1715,snake trap,Agkistrodon piscivorus,1,
2003-10-22,940,bucket,Thamnophis sirtalis,1,NEONATE
2003-10-22,940,snake trap,Coluber constrictor,1,NEONATE
2003-10-23,1725,snake trap,Thamnophis sauritus,1,
2003-10-23,915,snake trap,Agkistrodon piscivorus,1,
2003-10-23,915,snake trap,Thamnophis sirtalis,1,
2003-10-24,1705,bucket,Thamnophis sirtalis,1,NEONATE
2003-10-25,1450,snake trap,Agkistrodon piscivorus,1,
2003-10-26,1635,snake trap,Agkistrodon piscivorus,1,
2003-10-26,1635,snake trap,Agkistrodon piscivorus,2,
2003-10-28,1030,bucket,Agkistrodon piscivorus,1,
2003-10-29,1300,bucket,Agkistrodon piscivorus,1,
2003-10-30,1730,snake trap,Thamnophis sauritus,1,
2003-10-30,1730,snake trap,Agkistrodon piscivorus,1,JUV UNDER TRAP
2003-10-30,1730,snake trap,Agkistrodon piscivorus,1,
2003-10-31,1735,snake trap,Coluber constrictor,1,
2003-11-01,1215,snake trap,Agkistrodon piscivorus,1,
2003-11-02,1545,snake trap,Agkistrodon piscivorus,1,
2003-11-02,1545,snake trap,Agkistrodon piscivorus,1,
2003-11-02,1545,snake trap,Agkistrodon piscivorus,2,
2003-11-03,1020,snake trap,Agkistrodon piscivorus,1,
2003-11-04,1115,coffee can,Storeria occipitomaculata,1,
2003-11-04,1115,snake trap,Agkistrodon piscivorus,1,
2003-11-04,1115,snake trap,Agkistrodon piscivorus,1,
2003-11-04,1115,snake trap,Agkistrodon piscivorus,1,NEONATE
2003-11-04,1115,snake trap,Agkistrodon piscivorus,3,
2003-11-04,1700,snake trap,Agkistrodon piscivorus,1,
2003-11-05,945,snake trap,Nerodia fasciata,1,
2003-11-05,945,snake trap,Nerodia fasciata,1,
2003-11-05,945,snake trap,Nerodia fasciata,1,
2003-11-06,1724,snake trap,Agkistrodon piscivorus,2,2 IN ONE!
2003-11-07,900,snake trap,Nerodia fasciata,1,
2003-11-08,1035,snake trap,Agkistrodon piscivorus,1,
2003-11-11,1655,bucket,Coluber constrictor,1,
2003-11-11,1655,snake trap,Coluber constrictor,1,
2003-11-12,946,snake trap,Thamnophis sauritus,1,
2003-11-12,946,snake trap,Agkistrodon piscivorus,1,
2003-11-13,940,snake trap,Agkistrodon piscivorus,1,YOUNG
2003-11-15,1130,bucket,Thamnophis sauritus,1,NEONATE
2003-11-16,1115,snake trap,Coluber constrictor,1,NEONATE
2003-11-17,1655,snake trap,Agkistrodon piscivorus,1,
2003-11-17,1655,snake trap,Agkistrodon piscivorus,1,
2003-11-19,930,snake trap,Nerodia fasciata,1,
2003-11-19,930,snake trap,Nerodia fasciata,1,
2003-11-19,930,snake trap,Nerodia fasciata,2,
2003-11-21,1513,snake trap,Pantherophis alleghaniensis,1,
2003-11-21,945,snake trap,Heterodon platirhinos,1,
2003-11-21,1513,snake trap,Coluber constrictor,1,
2003-11-22,1100,snake trap,Coluber constrictor,1,NEONATE
2003-11-26,855,snake trap,Coluber constrictor,1,MRKD
2003-11-28,1615,snake trap,Nerodia fasciata,1,
2003-12-10,1015,snake trap,Nerodia fasciata,1,
2003-12-26,1400,snake trap,Nerodia fasciata,1,
2003-12-26,1400,snake trap,Thamnophis sauritus,1,
2003-12-31,1115,snake trap,Thamnophis sauritus,1,
2004-01-03,1200,snake trap,Nerodia fasciata,1,
2004-01-04,1530,snake trap,Nerodia fasciata,1,
2004-01-04,1530,snake trap,Thamnophis sauritus,1,
2004-01-05,1510,snake trap,Nerodia fasciata,1,
2004-01-06,1030,snake trap,Nerodia fasciata,1,
2004-01-06,1030,snake trap,Nerodia fasciata,1,
